City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,Basay,9.41,122.64,81.27,67,63,4.65,PH,2020-04-12 01:19:36
232,Clarence Town,-32.58,151.78,68.0,34,0,9.17,AU,2020-04-12 01:19:36
233,Portland,45.52,-122.68,62.6,38,20,9.17,US,2020-04-12 01:16:17
234,Airai,-8.93,125.41,65.61,69,97,2.35,TL,2020-04-12 01:19:37
235,Altoona,40.52,-78.39,44.6,52,1,2.04,US,2020-04-12 01:19:37
236,Saint-Augustin,51.23,-58.65,31.3,98,90,5.95,CA,2020-04-12 01:19:38
237,Urucara,-2.54,-57.76,74.79,93,98,1.74,BR,2020-04-12 01:19:38
238,San Patricio,19.22,-104.7,82.4,74,40,14.67,MX,2020-04-12 01:19:38
239,Pandan,14.05,124.17,80.71,75,91,4.05,PH,2020-04-12 01:19:38
240,Tabas,33.6,56.92,62.6,82,100,2.24,IR,2020-04-12 01:19:39
241,Trinidad,-14.83,-64.9,72.37,65,69,1.12,BO,2020-04-12 01:18:25
242,Klaksvik,62.23,-6.59,39.2,80,100,24.16,FO,2020-04-12 01:19:39
243,Bejar,40.39,-5.76,53.6,93,100,2.66,ES,2020-04-12 01:19:39
244,Talnakh,69.49,88.4,33.8,93,75,31.32,RU,2020-04-12 01:19:39
245,Karaikkudi,10.07,78.78,77.5,80,2,6.49,IN,2020-04-12 01:19:40
246,Ceres,37.59,-120.96,72.0,49,75,6.93,US,2020-04-12 01:14:54
247,Brunehaut,50.52,3.38,52.0,66,0,2.24,FR,2020-04-12 01:19:43
248,Souillac,-20.52,57.52,78.01,78,40,14.99,MU,2020-04-12 01:19:08
249,Shingu,33.73,135.98,53.6,81,75,4.7,JP,2020-04-12 01:19:44
250,Hay River,60.82,-115.8,19.4,62,75,6.93,CA,2020-04-12 01:19:44
251,Eutin,54.13,10.62,48.2,57,70,4.7,DE,2020-04-12 01:19:44
252,Xapuri,-10.65,-68.5,77.56,67,48,1.57,BR,2020-04-12 01:19:44
253,Berlevag,70.86,29.09,25.02,93,67,7.78,NO,2020-04-12 01:19:45
254,Borkenes,68.77,16.17,28.4,63,100,13.87,NO,2020-04-12 01:19:45
255,Grindavik,63.84,-22.43,35.6,79,40,11.41,IS,2020-04-12 01:19:45
256,Visegrad,43.78,19.3,41.0,60,1,1.36,BA,2020-04-12 01:19:45
257,Chapais,49.78,-74.85,28.4,68,90,10.29,CA,2020-04-12 01:17:44
258,Beringovskiy,63.05,179.32,14.11,94,94,10.87,RU,2020-04-12 01:19:46
259,Iglesias,39.31,8.54,54.0,93,0,5.82,IT,2020-04-12 01:19:46
260,Kapuskasing,49.42,-82.43,39.2,64,75,9.17,CA,2020-04-12 01:19:47
261,Nyimba,-14.56,30.81,65.05,72,67,4.9,ZM,2020-04-12 01:19:47
262,Bayji,34.93,43.49,62.64,48,8,0.76,IQ,2020-04-12 01:19:47
263,Sulangan,11.14,123.72,81.34,74,23,6.6,PH,2020-04-12 01:19:47
264,Salinopolis,-0.61,-47.36,81.86,82,90,9.93,BR,2020-04-12 01:19:47
265,Ostrovnoy,68.05,39.51,14.65,93,23,11.5,RU,2020-04-12 01:19:48
266,Te Anau,-45.42,167.72,60.64,61,65,8.39,NZ,2020-04-12 01:19:48
267,Gamba,-2.65,10.0,77.54,88,100,10.67,GA,2020-04-12 01:16:46
268,Lastoursville,-0.81,12.73,72.86,88,99,3.76,GA,2020-04-12 01:19:48
269,Urusha,54.05,122.9,41.7,59,1,1.66,RU,2020-04-12 01:19:48
270,Baruun-Urt,46.68,113.28,45.61,29,0,7.0,MN,2020-04-12 01:19:49
271,Mapiripan,2.89,-72.13,79.29,69,20,0.65,CO,2020-04-12 01:19:49
272,Batagay,67.63,134.63,31.77,87,100,7.09,RU,2020-04-12 01:19:49
273,Luderitz,-26.65,15.16,57.2,87,0,4.7,NA,2020-04-12 01:19:49
274,Olinda,-8.01,-34.86,84.2,70,20,5.82,BR,2020-04-12 01:19:50
275,Zacualpan,21.25,-105.17,77.0,53,75,10.29,MX,2020-04-12 01:19:50
276,Trelew,-43.25,-65.31,54.64,38,0,4.81,AR,2020-04-12 01:19:50
277,Pahrump,36.21,-115.98,75.0,26,1,17.22,US,2020-04-12 01:15:10
278,Labuhan,-6.88,112.21,79.61,80,33,4.43,ID,2020-04-12 01:19:51
279,Aksu,41.12,80.26,54.54,22,78,2.51,CN,2020-04-12 01:19:51
280,Acapulco,16.86,-99.89,80.6,78,40,9.17,MX,2020-04-12 01:17:59
281,Miles City,46.41,-105.84,28.99,92,90,8.05,US,2020-04-12 01:19:51
282,Ajdabiya,30.76,20.23,59.11,57,28,8.48,LY,2020-04-12 01:19:51
283,Vao,-22.67,167.48,76.71,75,31,13.94,NC,2020-04-12 01:19:52
284,Richards Bay,-28.78,32.04,71.15,82,56,13.78,ZA,2020-04-12 01:19:52
285,Kiruna,67.86,20.23,21.2,67,85,4.7,SE,2020-04-12 01:19:52
286,Okhotsk,59.38,143.3,29.44,92,33,2.59,RU,2020-04-12 01:19:53
287,Urumqi,43.8,87.6,50.0,46,56,6.71,CN,2020-04-12 01:19:53
288,Pinega,64.7,43.39,20.73,96,10,3.38,RU,2020-04-12 01:19:53
289,Nishihara,26.18,127.76,68.0,77,75,25.28,JP,2020-04-12 01:17:42
290,Graham,47.05,-122.29,60.01,33,75,4.7,US,2020-04-12 01:19:54
291,Humberto De Campos,-2.6,-43.46,78.62,90,97,4.14,BR,2020-04-12 01:19:54
292,Devaprayag,30.15,78.62,66.99,23,33,5.35,IN,2020-04-12 01:19:54
293,Namibe,-15.2,12.15,77.14,63,12,4.25,AO,2020-04-12 01:19:55
294,Banda Aceh,5.56,95.32,80.15,79,14,2.28,ID,2020-04-12 01:18:57
295,Pedernales,18.04,-71.74,80.29,70,69,3.2,DO,2020-04-12 01:19:55
296,Tarnos,43.54,-1.46,61.0,93,100,3.78,FR,2020-04-12 01:18:13
297,Cape Town,-33.93,18.42,64.99,93,75,20.8,ZA,2020-04-12 01:18:54
298,Victoria,22.29,114.16,68.0,55,20,18.34,HK,2020-04-12 01:15:06
299,Mount Gambier,-37.83,140.77,57.2,58,90,6.93,AU,2020-04-12 01:19:56
300,Dunedin,-45.87,170.5,57.0,84,100,1.01,NZ,2020-04-12 01:19:56
301,Abu Dhabi,24.47,54.37,86.0,20,35,10.29,AE,2020-04-12 01:15:04
302,Opportunity,47.65,-117.24,48.99,34,75,6.93,US,2020-04-12 01:19:57
303,Jhelum,32.93,73.73,72.3,40,94,2.98,PK,2020-04-12 01:16:12
304,Loughton,52.03,-0.79,55.99,66,25,3.36,GB,2020-04-12 01:19:58
